Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2010-12-09,SemiLeds ,LEDS,BofA Merrill Lynch/ Barclays Capital/ Jefferies,17.0,23.14,25.76,51.53,6.14,8.76
2010-12-10,FlatWorld Acquisition ,FTWAU,Rodman & Renshaw/ EarlyBirdCapital,10.0,10.0,10.01,0.1,0.0,0.01
2010-12-10,Lentuo International ,LAS,Cowen/ HSBC,8.0,8.5,8.38,4.75,0.5,0.38
2010-12-10,Sky-mobi Limited  ,MOBI,Citi,8.0,6.0,6.0,-25.0,-2.0,-2.0
2010-12-14,iSoftStone Holdings Limited ,ISS,UBS Investment Bank/ J.P. Morgan/ Morgan Stanley,13.0,16.0,16.2,24.62,3.0,3.2
2010-12-15,RigNet ,RNET,Deutsche Bank Securities/ Jefferies & Company,12.0,12.0,12.55,4.58,0.0,0.55
2010-12-15,FleetCor Technologies ,FLT,"J.P. Morgan/ Goldman, Sachs",23.0,25.0,27.75,20.65,2.0,4.75
2010-12-15,GAIN Capital Holdings ,GCAP,Morgan Stanley/Deutsche Bank,9.0,9.05,8.85,-1.67,0.05,-0.15
2010-12-15,Walker & Dunlop ,WD,"Credit Suisse/ Keefe, Bruyette & Woods/ Morgan Stanley",10.0,9.9,9.9,-1.0,-0.1,-0.1
2010-12-16,Ventrus Biosciences ,VTUS,"Rodman & Renshaw, LLC/ National Securities",6.0,7.47,6.3,5.0,1.47,0.3
2010-12-16,Swift Holdings ,SWFT,Morgan Stanley/ BofA Merrill Lynch/ Wells Fargo Securities,11.0,11.0,11.1,0.91,0.0,0.1
2010-12-17,Fortegra Financial ,FRF,Piper Jaffray/ SunTrust Robinson Humphrey,11.0,11.0,11.0,0.0,0.0,0.0
2010-12-17,"QR Energy, LP ",QRE,Wells Fargo Securities,20.0,19.9,19.6,-2.0,-0.1,-0.4
2010-12-21,"Ossen Innovation Co., Ltd. ",OSN,"Global Hunter Securities, LLC/ Knight Capital Markets",4.5,4.74,4.25,-5.56,0.24,-0.25
2011-01-13,American Assets Trust ,AAT,BofA Merrill Lynch/ Wells Fargo Securities/ Morgan Stanley,20.5,21.53,21.25,3.66,1.03,0.75
2011-01-26,Nielsen ,NSLN,J.P. Morgan/Morgan Stanley,23.0,24.75,25.01,8.74,1.75,2.01
2011-01-26,Demand Media ,DMD,"Goldman, Sachs/ Morgan Stanley",17.0,23.5,22.68,33.41,6.5,5.68
2011-01-28,InterXion Holding N.V.  ,INXN,BofA Merrill Lynch/ Citi/ Barclays Capital,13.0,14.5,13.8,6.15,1.5,0.8
2011-01-28,Adecoagro S.A.,AGRO,Credit Suisse/ Morgan Stanley/ Itau BBA / Deutsche Bank Securities,11.0,10.75,12.0,9.09,-0.25,1.0
2011-01-28,BankUnited  ,BKU,"Morgan Stanley/ BofA Merrill Lynch/ Deutsche Bank Securities/ Goldman, Sachs",27.0,29.6,28.4,5.19,2.6,1.4
2011-01-28,BCD Semiconductor Manufacturing ,BCDS,Jefferies/ Stifel Nicolaus Weisel,10.5,10.52,10.5,0.0,0.02,0.0
2011-02-02,Epocrates ,EPOC,J.P.Morgan/ Piper Jaffray,16.0,20.0,21.96,37.25,4.0,5.96
2011-02-02,NeoPhotonics ,NPTN,BofA Merrill Lynch/ Deutsche Bank Securities,11.0,14.0,13.25,20.45,3.0,2.25
2011-02-03,Trunkbow International Holdings ,TBOW,Roth Capital Partners,5.0,4.65,4.74,-5.2,-0.35,-0.26
2011-02-03,Pacira Pharmaceuticals ,PCRX,Barclays Capital/ Piper Jaffray,7.0,7.0,7.02,0.29,0.0,0.02
2011-02-03,Tornier B.V. ,TRNX,BofA Merrill Lynch/J.P. Morgan,19.0,19.0,18.05,-5.0,0.0,-0.95
2011-02-04,Endocyte ,ECYT,RBC Capital Markets/ Leerink Swann,6.0,6.4,7.73,28.83,0.4,1.73
2011-02-04,BG Medicine ,BGMD,Lazard Capital Markets,7.0,7.38,8.05,15.0,0.38,1.05
2011-02-08,China Century Dragon Media ,CDM,WestPark Capital/I-Bankers Securities,5.25,5.25,5.3,0.95,0.0,0.05
2011-02-08,Imperial Holdings ,IFT,FBR Capital Markets,10.75,10.75,10.81,0.56,0.0,0.06
2011-02-09,Gevo ,GEVO,UBS Investment Bank/ Piper Jaffray/ Citi,15.0,15.6,16.44,9.6,0.6,1.44
2011-02-09,Summit Hotel Properties ,INN,Deutsche Bank Securities/ Baird/ RBC Capital Markets,9.75,9.9,9.69,-0.62,0.15,-0.06
2011-02-10,Fluidigm ,FLDM,Deutsche Bank Securities/ Piper Jaffray,13.5,13.5,14.02,3.85,0.0,0.52
2011-02-11,Kips Bay Medical ,KIPS,"Rodman & Renshaw, LLC/ Newbridge Securities Corporation",8.0,8.0,7.93,-0.88,0.0,-0.07
2011-02-11,AcelRx Pharmaceuticals ,ACRX,Piper Jaffray,5.0,5.0,4.55,-9.0,0.0,-0.45
2011-02-11,Kinder Morgan,KMI,"Goldman, Sachs/ Barclays Capital",30.0,31.7,31.05,3.5,1.7,1.05
2011-02-15,Zuoan Fashion Limited ,ZA,Cowen ,7.0,7.0,7.04,0.57,0.0,0.04
2011-02-16,RLJ Acquisition ,RLJAU,Lazard Capital Markets,10.0,10.0,10.02,0.2,0.0,0.02
2011-02-22,China VantagePoint Acquisition,CHVF,EarlyBirdCapital,6.0,5.99,5.99,-0.17,-0.01,-0.01
2011-02-25,Solar Senior Capital Ltd. ,SUNS,Citi/ Wells Fargo Securities/ Deutsche Bank Securitie/ SunTrust Robinson Humphrey,20.0,19.7,19.6,-2.0,-0.3,-0.4
2011-03-10,HCA Holdings  ,HCA,"BofA Merrill Lynch/ Citi/ J.P. Morgan/ Barclays Capital/ Credit Suisse/ Deutsche Bank Securities/ Goldman, Sachs/ Morgan Stanley/ Wells Fargo Securities",30.0,31.2,31.02,3.4,1.2,1.02
2011-03-11,MagnaChip Semiconductor ,MX,Barclays Capital/ Deutsche Bank Securities,14.0,14.0,14.01,0.07,0.0,0.01
2011-03-17,Cornerstone OnDemand ,CSOD,"Goldman, Sachs/ Barclays Capital",13.0,18.0,19.07,46.69,5.0,6.07
2011-03-21,Lone Oak Acquisition ,LOKAF,EarlyBirdCapita,8.0,8.03,7.98,-0.25,0.03,-0.02
2011-03-25,Prime Acquisition ,PACQU,Chardan Capital Markets,10.0,10.0,10.0,0.0,0.0,0.0
2011-03-25,ServiceSource International ,SREV,Morgan Stanley/ Deutsche Bank Securities,10.0,13.65,12.18,21.8,3.65,2.18
2011-03-30,Qihoo 360 Technology ,QIHU,UBS Investment Bank/ Citi,14.5,27.0,34.0,134.48,12.5,19.5
2011-03-30,Apollo Global Management ,APO,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Citi/ Credit Suisse/ Deutsche Bank Securities/ UBS Investment Bank",19.0,18.7,18.2,-4.21,-0.3,-0.8
2011-04-01,Preferred Apartment Communities ,APTS,Wunderlich Securities,10.0,10.0,9.85,-1.5,0.0,-0.15
2011-04-01,GNC Holdings ,GNC,"Goldman, Sachs & Co. / J.P. Morgan",16.0,16.6,16.75,4.69,0.6,0.75
2011-04-04,Tranzyme   ,TZYM,Citi,4.0,4.0,4.0,0.0,0.0,0.0
2011-04-07,SandRidge Mississippian Trust I  ,SDT, Raymond James/ Morgan Stanley ,21.0,21.75,24.21,15.29,0.75,3.21
2011-04-08,PennantPark Floating Rate Capital Ltd. ,PFLT,Morgan Stanley/ SunTrust Robinson Humphrey/ UBS Investment Bank,15.0,14.11,13.4,-10.67,-0.89,-1.6
2011-04-08,"CVR Partners, LP ",UAN,"Morgan Stanley/ Barclays Capital/ Goldman, Sachs & Co.",16.0,18.0,17.55,9.69,2.0,1.55
2011-04-08,Golar LNG Partners LP ,GMLP,Citi/ BofA Merrill Lynch/ Morgan Stanley,22.5,24.5,24.85,10.44,2.0,2.35
2011-04-13,SCG Financial Acquisition ,SCGQU,Lazard Capital Markets/ Ladenburg Thalmann,10.0,10.0,10.0,0.0,0.0,0.0
2011-04-14,Zipcar ,ZIP,Goldman Sachs/J.P. Morgan,18.0,29.0,28.0,55.56,11.0,10.0
